estab_cnpj,estab_nome,valorTransacao,uf,municipio
07.575.651/0001-59,GOL LINHAS AEREAS S.A.,16456186.76,RJ,RIO DE JANEIRO
02.012.862/0001-60,TAM LINHAS AEREAS S/A.,16157052.2,SP,SAO PAULO
09.296.295/0001-60,AZUL LINHAS AEREAS BRASILEIRAS S.A.,9016166.26,SP,BARUERI
02.575.829/0001-48,OCEANAIR LINHAS AEREAS S/A FALIDO,7381093.42,SP,SAO PAULO
10.483.635/0001-40,MAP TRANSPORTES AEREOS LTDA,970193.73,SP,RIBEIRAO PRETO
33.937.681/0001-78,LATAM AIRLINES GROUP S/A,216020.61,SP,SAO PAULO
05.343.029/0001-90,MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA,94900.0,ES,SERRA
08.369.645/0001-08,BIG STORE COMERCIO E SERVICOS LTDA,69958.0,RJ,RIO DE JANEIRO
02.376.490/0001-50,MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA,68060.0,RJ,RIO DE JANEIRO
19.728.269/0001-17,CFJ CANAA DISTRIBUIDORA LTDA,52929.0,RJ,DUQUE DE CAXIAS
14.625.224/0001-01,STELO S.A.,46504.34,SP,BARUERI
07.148.744/0001-05,ARAUJO PORTO ALEGRE COMERCIO E SERVICOS LTDA,44081.7,RJ,RIO DE JANEIRO
10.115.210/0001-89,J SANTOS & SIQUEIRA LTDA,43795.0,PE,AGUAS BELAS
43.283.811/0027-99,KALUNGA SA,41864.2,RJ,RIO DE JANEIRO
02.164.865/0001-19,OLIVEIRA E CINTRA LTDA,39092.0,PE,RECIFE
04.981.484/0001-58,GAMA-MED 13 COMERCIO E SERVICOS LTDA,39000.0,RJ,RIO DE JANEIRO
10.788.677/0001-90,EMPRESA AUTO VIACAO PROGRESSO LTDA,33517.56,PE,JABOATAO DOS GUARARAPES
18.727.053/0001-74,PAGAR.ME S.A.,31769.510000000002,SP,SAO PAULO
13.191.277/0001-90,RAIO X MATERIAL HOSPITALAR LTDA,30400.0,RJ,NITEROI
10.573.521/0001-91,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,27684.88,SP,OSASCO
01.182.538/0001-27,FERNANDO ALVES DE CARVALHO LTDA,24513.91,PE,SALGUEIRO
08.097.029/0005-79,TECIDOS E ARMARINHO 253 COMERCIO VAREJISTA DE TECIDOS E ARTIGOS DE AVIAMENTOS LTDA,21964.89,RJ,RIO DE JANEIRO
08.740.327/0001-01,SYSTEM CARD 460 CONTROLE DE ACESSO E IDENTIFICACAO LTDA,20923.66,RJ,NOVA IGUACU
01.232.872/0001-48,TERRACO MAT P/ CONSTRUCAO LTDA,20511.8,TO,MIRACEMA DO TOCANTINS
05.214.053/0001-29,PARCO COMERCIO E SERVICOS LTDA,20334.64,RJ,RIO DE JANEIRO
00.285.753/0009-48,VENANCIO PRODUTOS FARMACEUTICOS LTDA.,20105.28,RJ,RIO DE JANEIRO
11.629.186/0001-69,L M COMERCIO DE PECAS DE MOTOCICLETAS LTDA,19978.96,PA,ANANINDEUA
00.652.622/0001-02,PONTUAL SERVICOS E COMERCIO LTDA,19785.4,MA,SAO LUIS
00.540.252/0001-03,PAPELARIA ABC COMERCIO E INDUSTRIA LTDA,19722.67,DF,BRASILIA
07.362.452/0001-62,AGIL MOTORES E BOMBAS LTDA,18248.2,MA,IMPERATRIZ
03.093.340/0001-00,SELMACON MATERIAIS DE CONSTRUCAO LTDA,17919.88,PA,ANANINDEUA
26.605.954/0001-11,CRISTIANO ALENCAR PEDROZA ROCHA SAMPAIO CARVALHO LTDA,17600.0,PE,CARUARU
07.499.419/0001-89,PHARMANUTRIENTE COMERCIO DE MEDICAMENTOS LTDA,17381.89,RJ,RIO DE JANEIRO
03.431.191/0001-34,M N DOS REIS SILVA MATERIAIS DE CONSTRUCAO LTDA,16298.85,MA,GRAJAU
07.868.912/0001-29,GONCALVES & DIAS LTDA,16180.94,PA,ANANINDEUA
97.387.815/0001-07,JC VIDEO DO LEME SER ELETR ELETRONICOS LTDA,16162.0,RJ,RIO DE JANEIRO
68.570.597/0001-43,SO LAR PECAS LTDA,15899.45,RJ,RIO DE JANEIRO
05.035.010/0001-86,LAB BRAX DIAGNOSTICA LTDA,14545.0,RJ,NITEROI
11.573.821/0001-33,J T VAZ & CIA LTDA,14488.0,PE,PESQUEIRA
00.063.960/0026-59,WMB SUPERMERCADOS DO BRASIL LTDA.,13916.59,RJ,RIO DE JANEIRO
41.242.827/0001-99,CONSTRUACIO COMERCIO LTDA,13867.5,PE,SALGUEIRO
11.579.724/0001-58,CEARENSE COMERCIO DE PECAS LTDA,13519.89,PA,ANANINDEUA
39.087.119/0001-89,FERRAGENS HILDEBRANDO MELLO LTDA,13291.9,RJ,RIO DE JANEIRO
22.325.578/0001-50,EMS COMERCIO DE MATERIAIS ELETRONICOS LTDA,13082.13,PA,ANANINDEUA
00.285.753/0003-52,VENANCIO PRODUTOS FARMACEUTICOS LTDA.,12932.21,RJ,RIO DE JANEIRO
16.731.862/0001-24,ATACADAO PAPELEX LTDA,12380.74,RJ,RIO DE JANEIRO
57.562.816/0001-26,57.562.816 TANIA REGINA VALENTIN QUADROS,12104.0,RJ,RIO DE JANEIRO
40.475.451/0001-08,JOAO CARLOS SOPRANI BOBBIO,11965.0,BA,EUNAPOLIS
82.273.780/0001-08,UTILIDADES FERROELETRICAS COM DE MAT ELETRICOS LTDA,11580.55,PR,CURITIBA
04.945.481/0009-16,IMPORTADORA OPLIMA LTDA,11506.89,PA,ANANINDEUA
10.280.994/0001-09,FARMACIA TRINDADE LTDA,11363.119999999999,PE,PETROLANDIA
00.092.547/0001-64,RIO CENTER NEGOCIOS E PARTICIPACOES LTDA,11263.12,RJ,RIO DE JANEIRO
03.985.711/0001-50,KELP MED COMERCIO DE PRODUTOS E SERVICOS HOSPITALARES LTDA,11150.0,RJ,RIO DE JANEIRO
01.640.262/0001-83,CITOPHARMA MANIPULACAO DE MEDICAMENTOS ESPECIAIS LTDA,11057.06,MG,BELO HORIZONTE
03.861.102/0001-90,N. M. S. LACERDA,10514.76,MA,BARRA DO CORDA
05.054.633/0001-04,KIMICALBINO COMERCIO ATACADISTA DE MATERIAL DE LABORATORIO LTDA,10508.0,RJ,RIO DE JANEIRO
06.158.038/0001-73,BRASIMAC COMERCIO DE PECAS LTDA,10359.68,PA,REDENCAO
16.422.865/0001-86,CAMARGO AUTO CENTER LTDA,10215.3,GO,APARECIDA DE GOIANIA
06.167.186/0001-54,PAYGO ADMINISTRADORA DE MEIOS DE PAGAMENTOS LTDA,10166.0,SP,SAO PAULO
04.920.658/0005-04,NORTE REFRIGERACAO LTDA,10121.07,PA,BELEM
43.283.811/0116-07,KALUNGA SA,10103.8,RJ,RIO DE JANEIRO
09.501.424/0001-04,IDEAL CHAVES & FECHADURAS LTDA,9934.06,GO,GOIANIA
26.602.378/0001-59,SUPER CIRURGICA LTDA,9900.0,RJ,RIO DE JANEIRO
04.019.609/0001-63,SALVADOR FERRAMENTAS LTDA,9808.0,BA,SALVADOR
19.540.550/0001-21,ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S.A.,9780.0,SC,JOINVILLE
11.504.682/0001-96,P. V. ESTAMPARIA E COMERCIO LTDA,9533.4,RJ,RIO DE JANEIRO
19.328.845/0002-10,ENTREPOSTO IMPORTACAO E EXPORTACAO  LTDA,9500.0,SP,IBITINGA
33.657.231/0001-21,THAIS VIANNA DE AZEVEDO SILVA 10019698712,9150.0,RJ,RIO DE JANEIRO
37.232.351/0001-38,RCS SILVA COMERCIAL LTDA,9141.1,PA,ANANINDEUA
27.937.508/0001-77,VIRTUAL FARMA PRODUTOS FARMACEUTICOS LTDA,9125.75,RJ,NITEROI
00.419.712/0001-40,COMAGRI COMERCIO DE MAQUINAS AGRICOLAS LTDA,9097.0,MS,SIDROLANDIA
43.283.811/0142-90,KALUNGA SA,9079.66,RJ,RIO DE JANEIRO
04.725.933/0001-05,CORSANT LIMITADA,8903.15,PA,MARITUBA
17.668.204/0001-06,GOMES E LIMA SERVICOS DE MANUTENCAO DE VEICULOS LTDA,8682.0,PA,ANANINDEUA
02.219.637/0001-07,CASA DO CORTA PAU COMERCIO DE IMPLEMENTOS E MAQUINAS AGRICOLAS LTDA,8597.14,MT,BARRA DO GARCAS
18.990.446/0001-76,CICERO COSTA SIMIAO 86772333420,8590.0,PE,SALGUEIRO
02.357.251/0001-53,LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.,8300.0,RS,PELOTAS
41.254.921/0001-68,JOSE CID HONORATO,8057.1,PE,PETROLANDIA
19.893.249/0001-00,DANIELA MACHADO LUCAS GORDO LTDA,8000.0,TO,PALMAS
02.648.280/0001-74,PONTUAL ASSISTENCIA TECNICA ODONTOLOGICA LTDA,7995.19,TO,PALMAS
26.125.828/0001-60,ECOMATIZE SOLUCOES EM TECNOLOGIA LTDA,7989.67,RJ,RIO DE JANEIRO
13.520.448/0001-88,KELY MARIA DE SOUZA,7888.0,BA,RIBEIRA DO POMBAL
10.935.399/0001-56,HIDROBOMBAS ARAGUAIA LTDA.,7885.63,TO,PALMAS
31.868.590/0001-00,JULLY'S SERVICOS DE CONSERVACAO E COMERCIO LTDA,7873.9400000000005,RJ,RIO DE JANEIRO
01.026.869/0001-78,NEUROPEDIATRAS ASSOCIADOS LTDA,7830.0,RJ,RIO DE JANEIRO
05.134.367/0001-11,SITIO'S DA AMAZONIA IND. E COM. DE RACOES PARA ANIMAIS LTDA,7797.5,PA,MARITUBA
08.727.003/0001-33,SUPRI MEIER INFORMATICA COMERCIAL LTDA.,7749.0,RJ,RIO DE JANEIRO
22.132.650/0001-23,"KL MANUTENCAO EM BOMBAS, MOTORES E PAINEIS LTDA",7669.0,SP,SAO PAULO
26.408.191/0001-19,GRATTANO DISTRIBUIDORA E IMPORTADORA DE PRODUTOS FARMACEUTICOS CORRELATOS E INDUSTRIAIS LTDA,7667.0,RJ,NITEROI
61.585.865/0774-56,RAIA DROGASIL S/A,7608.21,RJ,RIO DE JANEIRO
63.675.045/0001-86,IMPORTADORA DE PRODUTOS ELETRONICOS NEW SCUD LTDA,7555.0,AM,MANAUS
13.757.521/0001-30,ELETRICA BOBBIO LTDA,7546.0,BA,EUNAPOLIS
05.006.001/0001-67,DENNIS AGUIAR & CIA LTDA,7482.17,MT,CANARANA
01.224.113/0001-33,DPM COMERCIO E REPRESENTACOES LTDA,7449.0,RJ,NITEROI
33.333.162/0001-09,CASA CRUZ PAPEIS E VIDROS LIMITADA - FALIDA,7441.82,RJ,RIO DE JANEIRO
77.044.618/0018-26,BALAROTI - COMERCIO DE MATERIAIS DE CONSTRUCAO S.A.,7386.59,PR,CURITIBA
25.084.781/0001-70,ELZA PEREIRA MARTINS GOMES,7346.0,TO,MIRACEMA DO TOCANTINS
07.013.648/0002-22,DICASA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA.,7337.39,PA,BELEM
10.878.448/0001-66,PAYPAL DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,7256.35,SP,SAO PAULO
01.621.271/0001-27,R F GOMES DE SOUSA ENGENHARIA LTDA,7180.7,MA,IMPERATRIZ
74.127.259/0001-34,PAPELARIA E BAZAR ESTRELA GUIA LTDA,7170.0,RJ,RIO DE JANEIRO
12.821.926/0001-27,ENERGILUZ COMERCIO DE MATERIAIS ELETRICOS LTDA,7152.7699999999995,SC,SAO JOSE
01.754.239/0005-43,REFRIGERACAO DUFRIO COMERCIO E IMPORTACAO S.A.,7133.2,RJ,RIO DE JANEIRO
18.804.378/0001-03,J P GAMA COMERCIO DE PRODUTOS HOSPITALARES LTDA,7119.0,BA,ITABUNA
14.742.064/0001-72,CMF BATISTA COMERCIO LTDA,6970.63,PA,ANANINDEUA
00.587.476/0001-70,J R S LOBATO MATERIAS DE CONSTRUCAO LTDA,6739.3,PA,ANANINDEUA
08.999.064/0002-30,CONTRAFO COMERCIO DE MATERIAIS ELETRICOS LTDA,6622.0,MS,CAMPO GRANDE
42.498.097/0001-54,DROGARIA DROGA RICA LTDA,6598.76,RJ,RIO DE JANEIRO
61.585.865/1120-30,RAIA DROGASIL S/A,6593.55,RJ,RIO DE JANEIRO
73.706.830/0001-02,DROGARIA SAO LOURENCO LTDA,6570.37,MS,MIRANDA
10.445.761/0001-00,E E DOS SANTOS - MATERIAIS DE CONSTRUCOES,6515.32,PE,RECIFE
05.221.748/0001-38,CYCLO COMERCIO DE MATERIAIS HIDRAULICOS LTDA,6489.8,MT,VARZEA GRANDE
12.837.408/0001-00,QUALIFARMA MEDICAMENTOS LTDA,6476.92,MS,DOURADOS
24.766.442/0001-01,ESTANCIA PORTUGUESA ANANINDEUA LTDA,6356.35,PA,ANANINDEUA
36.896.223/0001-26,MOTO PECAS BOURSCHEID LTDA,6277.0,MT,BRASNORTE
41.882.207/0001-14,CESAR DA SILVA 07611728903,6250.5,SC,SAO JOSE
07.814.779/0001-28,TECNOBOMBAS COMERCIO E SERVICOS DE BOMBAS LTDA,6150.0,MT,CUIABA
34.028.316/0676-07,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,6141.06,RJ,RIO DE JANEIRO
61.585.865/3090-98,RAIA DROGASIL S/A,6134.95,RJ,RIO DE JANEIRO
06.070.958/0002-16,MELHOR PRECO MEDICAMENTOS LTDA,6067.47,BA,EUCLIDES DA CUNHA
01.438.784/0007-92,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,6044.9400000000005,RJ,RIO DE JANEIRO
04.300.777/0001-22,E. FONTENELE DE BRITO LTDA,5980.0,TO,ARAGUAINA
00.666.349/0001-67,M-KIT COMERCIAL LTDA,5977.95,RJ,RIO DE JANEIRO
72.642.614/0001-88,ELETRONICA MUNDO ELETRO LTDA,5946.0,DF,BRASILIA
06.154.907/0001-91,FADA COMERCIO DE ELETRONICA LTDA,5911.5,BA,SALVADOR
61.585.865/0946-28,RAIA DROGASIL S/A,5907.79,RJ,RIO DE JANEIRO
01.040.887/0002-95,FERPAM COM DE FERRAMENTAS PARAFUSOS E MAQUINAS LTDA,5893.71,TO,PALMAS
00.776.574/0001-56,AMERICANAS S.A - EM RECUPERACAO JUDICIAL,5848.97,SP,OSASCO
34.959.654/0001-69,CARE LIFE DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA,5842.8,RJ,RIO DE JANEIRO
01.891.307/0001-92,SALVADOR CABOS COMERCIO LTDA,5801.75,BA,SALVADOR
33.100.082/0001-03,E TAMUSSINO E CIA LTDA,5800.24,RJ,RIO DE JANEIRO
31.068.292/0001-28,BENAGRO COMERCIO DE PRODUTOS AGROPECUARIOS LTDA,5778.9,PA,MARITUBA
61.585.865/1362-15,RAIA DROGASIL S/A,5769.5,RJ,RIO DE JANEIRO
05.470.488/0001-34,"JIREH DISTRIBUIDORA E VAREJISTA EM AR CONDICIONADO, PECAS E ACESSORIOS LTDA",5754.08,BA,SALVADOR
40.156.895/0001-72,MAYRA ILUMINACAO DECORATIVA LTDA,5750.0,RJ,RIO DE JANEIRO
04.050.750/0001-29,RTS RIO S/A,5733.42,RJ,RIO DE JANEIRO
03.667.183/0001-91,PEIXOTO COMERCIO DE MATERIAIS ELETRICOS E HIDRAULICOS LTDA,5715.3,RS,TENENTE PORTELA
02.416.785/0001-03,A. C. FINATO,5675.0,MT,SINOP
17.209.000/0001-07,BARROS E MILHOMEM LTDA,5674.0,TO,GURUPI
04.945.481/0001-69,IMPORTADORA OPLIMA LTDA,5658.14,PA,BELEM
16.906.041/0001-81,DROGARIA E PERFUMARIA SANTA EDWIGES LTDA,5630.78,RJ,RIO DE JANEIRO
07.601.161/0001-80,VG BARCOS E MOTORES LTDA,5620.3,MT,VARZEA GRANDE
26.579.029/0001-63,COXIPO MATERIAIS ELETRICOS LTDA,5617.599999999999,MT,CUIABA
12.499.984/0001-86,SAO LUIZ PISOS E REVESTIMENTOS LTDA,5614.0,AL,ARAPIRACA
13.420.659/0001-49,TSI TECNOLOGIA SERVICOS E INOVACAO LTDA,5610.0,RJ,RIO DE JANEIRO
11.024.783/0001-60,F. A. AGUIAR RIBEIRO LTDA,5592.5,MA,SAO JOSE DE RIBAMAR
07.337.212/0001-08,TGM SERVICOS DE MOTORES LTDA,5580.0,PB,JOAO PESSOA
01.451.606/0001-06,SANTANA & ARAGAO LTDA,5575.8,BA,RIBEIRA DO POMBAL
14.757.773/0001-21,HENRIQUE FONTES SANTOS,5570.0,MG,MACHACALIS
13.223.031/0001-53,TELMAX SECURITY E TELEFONIA LTDA,5524.29,RJ,RIO DE JANEIRO
04.067.986/0001-78,HEPTCOLOR SIGN E SERIGRAFIA LTDA,5514.0,RJ,RIO DE JANEIRO
04.022.911/0001-70,HIDROMIX DESENTUPIDORA EIRELI,5480.0,SP,FRANCO DA ROCHA
10.444.624/0001-51,SISNAC PRODUTOS PARA SAUDE LTDA,5452.0,SP,SAO PAULO
03.477.507/0001-29,MARJUW AZEVEDO'S LTDA,5432.0,RJ,RIO DE JANEIRO
16.721.256/0001-28,LUIS C. R. ARAUJO,5424.07,PA,BELEM
12.212.829/0001-37,FARMACIA REDE DO POVO LTDA,5420.0,MT,CUIABA
01.438.784/0012-50,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,5380.79,RJ,RIO DE JANEIRO
29.707.031/0001-69,COMERCIO DE MATERIAL DE ESCRITORIO JOTAGE LTDA,5377.6,RJ,RIO DE JANEIRO
59.867.198/0001-58,ETIQUETAS JA COMERCIO VIRTUAL LTDA,5318.799999999999,SP,SOROCABA
11.608.014/0001-09,ALL MAX COMERCIO E SERVICOS DE INFORMATICA LTDA,5311.0,GO,GOIANIA
26.078.493/0001-76,SO BOMBAS COMERCIO E SERVICOS LTDA,5233.0,MG,MONTES CLAROS
42.151.746/0001-46,PLAST REI LTDA,5225.56,RJ,RIO DE JANEIRO
43.300.217/0001-20,MEGAPLAST ITANHANGA LTDA,5200.0,RJ,RIO DE JANEIRO
03.281.857/0001-15,RIO MEDICAL EXPRESS MATERIAIS CIRURGICOS LTDA,5173.08,MG,JUIZ DE FORA
33.581.737/0001-02,PAPELARIA ESTRELA DO ORIENTE LTDA,5172.0,RJ,RIO DE JANEIRO
34.012.823/0001-59,FARMACIA LUCAMAR LTDA,5168.25,RJ,RIO DE JANEIRO
09.518.029/0001-34,M C DE L MACHADO,5143.75,PA,BELEM
12.087.956/0007-47,"BRAZZ BRAZZ PAPELARIA, MATERIAL DE ESCRITORIO E INFORMATICA LTDA",5098.95,PA,ANANINDEUA
05.230.445/0001-81,IBGN SERVICOS DE CARIMBOS E CHAVES LTDA,5088.3,PA,ANANINDEUA
03.282.495/0001-87,CENTER AUTOMOTIVO JANUARIA LTDA,5038.0,MG,JANUARIA
04.922.256/0001-07,P. A. ESTEVES DO ROSARIO LTDA,5027.1,AM,PARINTINS
34.028.316/0697-31,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,5022.2,RJ,RIO DE JANEIRO
81.707.044/0001-58,MASSAO BOMBAS LTDA,5015.0,PR,CURITIBA
23.058.534/0001-74,PROCERTI CERTIFICADORA DIGITAL LTDA,5000.0,RJ,PETROPOLIS
15.763.856/0001-96,INTERCONTINENTAL AGENCIA DE VIAGENS E TURISMO LTDA,4990.26,MT,CUIABA
11.119.597/0001-04,ZELIA MARIA DE CARVALHO BAZAR,4907.8,RJ,RIO DE JANEIRO
28.242.921/0001-80,PARQUE DA LUZ ELETRICA E ILUMINACAO LTDA,4875.94,SC,FLORIANOPOLIS
00.081.358/0001-96,ACRILZANO ARTEFATOS DE ACRILICO LTDA,4819.84,RJ,RIO DE JANEIRO
02.389.832/0001-77,PAPELARIA FALCAO LTDA,4816.35,RJ,NITEROI
13.746.391/0001-30,CASA ELOY LTDA,4764.31,BA,SALVADOR
33.995.044/0001-58,DROGARIA JOVEM DA PIEDADE LTDA,4755.66,RJ,RIO DE JANEIRO
84.535.301/0001-00,CARLOS ALBERTO SOARES BEZERRA LTDA,4745.0,AM,MANAUS
14.618.033/0001-04,DOMICIANO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,4735.89,MT,BRASNORTE
16.793.502/0001-57,A A M ALVES,4730.96,TO,TOCANTINOPOLIS
11.451.979/0001-30,SERGUEI VILLANOVA FORTES,4708.32,RS,PORTO ALEGRE
06.758.888/0009-60,FLEURY CENTRO DE PROCEDIMENTOS MEDICOS AVANCADOS S/A,4698.96,RJ,RIO DE JANEIRO
15.741.267/0001-07,AUTO PECAS CIDADE NOVA LTDA,4680.9,PA,ANANINDEUA
42.225.938/0129-13,CSB DROGARIAS S/A,4666.84,RJ,RIO DE JANEIRO
01.109.184/0004-38,UNIVERSO ONLINE S/A,4626.26,SP,SAO PAULO
12.124.609/0001-51,DROGARIA RAPIDA DE SAO JANUARIO LTDA,4607.21,RJ,RIO DE JANEIRO
11.819.234/0001-81,PARA ROLAMENTOS E PECAS LTDA,4597.89,PA,ANANINDEUA
07.014.198/0004-54,ATACADAO DO PAPEL LTDA,4591.19,BA,SALVADOR
12.189.231/0001-74,RJ ACRILICOS LTDA,4574.0,RJ,RIO DE JANEIRO
12.568.215/0001-92,ROSIMAR DE SANTANA RIBEIRO TEIXEIRA 68667175234,4500.0,PA,BELEM
11.094.824/0001-94,G5 MATERIAIS PARA CONSTRUCAO LTDA,4499.05,MS,CAMPO GRANDE
09.644.601/0001-01,CASA DA IRRIGACAO COM. DE EQUIP.- LTDA,4483.39,TO,PALMAS
